timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
20/07/2017 21:43,45,260 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-10,,true,,378,656,1,1,45,0,0
20/07/2017 21:43,10642,261 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-10,text,true,,1557,2615,1,1,10641,0,0
20/07/2017 21:43,10687,GuardarTicket,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-10,,true,,1935,3271,1,1,10686,23,0
20/07/2017 21:43,171,262 /portal-servicios/ver-ticket.html,200,OK,Thread Group 1-10,text,true,,5041,491,2,2,171,0,74
20/07/2017 21:43,94,263 /portal-servicios/js/ver-ticket.js,200,OK,Thread Group 1-10,text,true,,7421,453,2,2,94,0,0
20/07/2017 21:43,119,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-9,text,true,,3320,541,2,2,119,0,74
20/07/2017 21:43,119,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,3320,541,2,2,119,1,74
20/07/2017 21:43,87,264 /common-resources/js/api.js,200,OK,Thread Group 1-10,text,true,,5622,530,2,2,87,0,0
20/07/2017 21:43,352,AceptarMensaje,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-10,,true,,18084,1474,2,2,352,3,74
20/07/2017 21:43,88,295 /my322199.crm.ondemand.com:443/sap/bc/srt/scs/sap/manageservicerequestin1,200,OK,Thread Group 1-10,,true,,378,706,2,2,88,0,38
20/07/2017 21:43,881,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-9,text,true,,3295,856,2,2,880,0,0
20/07/2017 21:43,18,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-9,text,true,,2504,735,2,2,18,0,0
20/07/2017 21:43,247,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-9,text,true,,1865,7884,2,2,247,0,61
20/07/2017 21:43,1146,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,7664,9475,2,2,1145,2,61
20/07/2017 21:43,60,330 /Gmg.Identity.Provider.FrontEnd.Web/Logout,200,OK,Thread Group 1-9,text,true,,2820,660,2,2,54,0,0
20/07/2017 21:43,60,LogOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2820,660,2,2,54,1,0
20/07/2017 21:43,40,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-9,text,true,,3179,627,2,2,40,0,0
20/07/2017 21:43,40,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,3179,627,2,2,40,1,0
20/07/2017 21:43,1085,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-9,text,true,,3290,856,2,2,1084,0,0
20/07/2017 21:43,45,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-9,text,true,,2504,735,2,2,45,0,32
20/07/2017 21:43,194,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-9,text,true,,1865,7876,2,2,194,0,0
20/07/2017 21:43,1324,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,7659,9467,2,2,1323,3,32
20/07/2017 21:43,50,330 /Gmg.Identity.Provider.FrontEnd.Web/Logout,200,OK,Thread Group 1-9,text,true,,2820,660,2,2,50,0,0
20/07/2017 21:43,50,LogOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2820,660,2,2,50,1,0
20/07/2017 21:43,39,227 /Gmg.Identity.Provider.FrontEnd.Web/Login,200,OK,Thread Group 1-9,text,true,,3179,627,2,2,39,0,0
20/07/2017 21:43,39,URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,3179,627,2,2,39,3,0
20/07/2017 21:43,884,233 /Gmg.Identity.Provider.FrontEnd.Web/Login/ExecuteLogin?SiteId=D94F606AB0A04F499764957A453C7846,200,OK,Thread Group 1-9,text,true,,3295,856,2,2,884,0,0
20/07/2017 21:43,9,49 /gmg.identity.provider.frontend.web/,200,OK,Thread Group 1-9,text,true,,2504,735,2,2,9,0,0
20/07/2017 21:43,257,234 /portal-servicios/inicio.html,200,OK,Thread Group 1-9,text,true,,1865,7880,2,2,257,0,62
20/07/2017 21:43,1150,Login,200,"Number of samples in transaction : 3, number of failing samples : 0",Thread Group 1-9,,true,,7664,9471,2,2,1150,3,62
20/07/2017 21:43,39,330 /Gmg.Identity.Provider.FrontEnd.Web/Logout,200,OK,Thread Group 1-9,text,true,,2820,660,2,2,39,0,0
